M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,10240,2816,False,torch.bfloat16,torch.bfloat16,False,False
1,1152,1152,False,torch.bfloat16,torch.bfloat16,False,False
1,1152,4304,False,torch.bfloat16,torch.bfloat16,False,False
1,2816,1152,False,torch.bfloat16,torch.bfloat16,False,False
1,2816,2112,False,torch.bfloat16,torch.bfloat16,False,False
1,2816,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,2816,8192,False,torch.bfloat16,torch.bfloat16,False,False
1,3456,1152,False,torch.bfloat16,torch.bfloat16,False,False
1,4224,2816,False,torch.bfloat16,torch.bfloat16,False,False
1,8192,2816,False,torch.bfloat16,torch.bfloat16,False,False
1,8608,1152,False,torch.bfloat16,torch.bfloat16,False,False
128,10240,2816,False,torch.bfloat16,torch.bfloat16,False,False
128,1152,1152,False,torch.bfloat16,torch.bfloat16,False,False
128,1152,4304,False,torch.bfloat16,torch.bfloat16,False,False
128,2816,1152,False,torch.bfloat16,torch.bfloat16,False,False
128,2816,2112,False,torch.bfloat16,torch.bfloat16,False,False
128,2816,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,2816,8192,False,torch.bfloat16,torch.bfloat16,False,False
128,3456,1152,False,torch.bfloat16,torch.bfloat16,False,False
128,4224,2816,False,torch.bfloat16,torch.bfloat16,False,False
128,8192,2816,False,torch.bfloat16,torch.bfloat16,False,False
128,8608,1152,False,torch.bfloat16,torch.bfloat16,False,False
8192,10240,2816,False,torch.bfloat16,torch.bfloat16,False,False
8192,1152,1152,False,torch.bfloat16,torch.bfloat16,False,False
8192,1152,4304,False,torch.bfloat16,torch.bfloat16,False,False
8192,2816,1152,False,torch.bfloat16,torch.bfloat16,False,False
8192,2816,2112,False,torch.bfloat16,torch.bfloat16,False,False
8192,2816,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,2816,8192,False,torch.bfloat16,torch.bfloat16,False,False
8192,3456,1152,False,torch.bfloat16,torch.bfloat16,False,False
8192,4224,2816,False,torch.bfloat16,torch.bfloat16,False,False
8192,8192,2816,False,torch.bfloat16,torch.bfloat16,False,False
8192,8608,1152,False,torch.bfloat16,torch.bfloat16,False,False
