Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 198.51317533501424
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.267, 'num': 30},
 'Agriculture': {'acc': 0.267, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.167, 'num': 30},
 'Art': {'acc': 0.4, 'num': 30},
 'Art_Theory': {'acc': 0.533, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.333, 'num': 30},
 'Biology': {'acc': 0.2, 'num': 30},
 'Chemistry': {'acc': 0.233, 'num': 30},
 'Clinical_Medicine': {'acc': 0.367, 'num': 30},
 'Computer_Science': {'acc': 0.367, 'num': 30},
 'Design': {'acc': 0.667, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.333, 'num': 30},
 'Economics': {'acc': 0.533, 'num': 30},
 'Electronics': {'acc': 0.233, 'num': 30},
 'Energy_and_Power': {'acc': 0.3, 'num': 30},
 'Finance': {'acc': 0.267, 'num': 30},
 'Geography': {'acc': 0.267, 'num': 30},
 'History': {'acc': 0.367, 'num': 30},
 'Literature': {'acc': 0.667, 'num': 30},
 'Manage': {'acc': 0.267, 'num': 30},
 'Marketing': {'acc': 0.367, 'num': 30},
 'Materials': {'acc': 0.1, 'num': 30},
 'Math': {'acc': 0.367, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.2, 'num': 30},
 'Music': {'acc': 0.333, 'num': 30},
 'Overall': {'acc': 0.334, 'num': 900},
 'Overall-Art and Design': {'acc': 0.483, 'num': 120},
 'Overall-Business': {'acc': 0.34, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.327, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.433, 'num': 120},
 'Overall-Science': {'acc': 0.28, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.233, 'num': 210},
 'Pharmacy': {'acc': 0.267, 'num': 30},
 'Physics': {'acc': 0.333, 'num': 30},
 'Psychology': {'acc': 0.267, 'num': 30},
 'Public_Health': {'acc': 0.333, 'num': 30},
 'Sociology': {'acc': 0.433, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.334

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1177.98 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9925.78 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 28015.16 examples/s]

Loading datasets:   3%|▎         | 1/30 [00:16<07:55, 16.40s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1686.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10076.81 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 24252.86 examples/s]

Loading datasets:   7%|▋         | 2/30 [00:17<03:21,  7.19s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1638.66 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7015.06 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 24690.45 examples/s]

Loading datasets:  10%|█         | 3/30 [00:17<01:53,  4.21s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2339.79 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 14646.62 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 53908.11 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1690.43 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11109.76 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
