Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 233.20217158901505
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.3, 'num': 30},
 'Agriculture': {'acc': 0.367, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.333, 'num': 30},
 'Art': {'acc': 0.533, 'num': 30},
 'Art_Theory': {'acc': 0.533, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.367, 'num': 30},
 'Biology': {'acc': 0.333, 'num': 30},
 'Chemistry': {'acc': 0.2, 'num': 30},
 'Clinical_Medicine': {'acc': 0.233, 'num': 30},
 'Computer_Science': {'acc': 0.433, 'num': 30},
 'Design': {'acc': 0.5, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.1, 'num': 30},
 'Economics': {'acc': 0.567, 'num': 30},
 'Electronics': {'acc': 0.167, 'num': 30},
 'Energy_and_Power': {'acc': 0.333, 'num': 30},
 'Finance': {'acc': 0.3, 'num': 30},
 'Geography': {'acc': 0.233, 'num': 30},
 'History': {'acc': 0.4, 'num': 30},
 'Literature': {'acc': 0.667, 'num': 30},
 'Manage': {'acc': 0.2, 'num': 30},
 'Marketing': {'acc': 0.367, 'num': 30},
 'Materials': {'acc': 0.267, 'num': 30},
 'Math': {'acc': 0.333, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.333, 'num': 30},
 'Music': {'acc': 0.3, 'num': 30},
 'Overall': {'acc': 0.337, 'num': 900},
 'Overall-Art and Design': {'acc': 0.467, 'num': 120},
 'Overall-Business': {'acc': 0.347, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.253, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.433, 'num': 120},
 'Overall-Science': {'acc': 0.253, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.319, 'num': 210},
 'Pharmacy': {'acc': 0.333, 'num': 30},
 'Physics': {'acc': 0.167, 'num': 30},
 'Psychology': {'acc': 0.267, 'num': 30},
 'Public_Health': {'acc': 0.233, 'num': 30},
 'Sociology': {'acc': 0.4, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.337

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1317.80 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8323.68 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 22130.63 examples/s]

Loading datasets:   3%|▎         | 1/30 [00:15<07:39, 15.84s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1601.61 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11889.74 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 25927.93 examples/s]

Loading datasets:   7%|▋         | 2/30 [00:16<03:13,  6.90s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1665.33 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5685.39 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1250.46 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5125.42 examples/s]



Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 12383.31 examples/s]

Loading datasets:  10%|█         | 3/30 [00:16<01:46,  3.94s/it]
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 7259.40 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1577.87 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11434.85 examples/s]


Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
