Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 197.14592433907092
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.267, 'num': 30},
 'Agriculture': {'acc': 0.333, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.267, 'num': 30},
 'Art': {'acc': 0.5, 'num': 30},
 'Art_Theory': {'acc': 0.4, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.233, 'num': 30},
 'Biology': {'acc': 0.233, 'num': 30},
 'Chemistry': {'acc': 0.233, 'num': 30},
 'Clinical_Medicine': {'acc': 0.267, 'num': 30},
 'Computer_Science': {'acc': 0.333, 'num': 30},
 'Design': {'acc': 0.533, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.233, 'num': 30},
 'Economics': {'acc': 0.467, 'num': 30},
 'Electronics': {'acc': 0.133, 'num': 30},
 'Energy_and_Power': {'acc': 0.3, 'num': 30},
 'Finance': {'acc': 0.267, 'num': 30},
 'Geography': {'acc': 0.3, 'num': 30},
 'History': {'acc': 0.333, 'num': 30},
 'Literature': {'acc': 0.633, 'num': 30},
 'Manage': {'acc': 0.267, 'num': 30},
 'Marketing': {'acc': 0.4, 'num': 30},
 'Materials': {'acc': 0.367, 'num': 30},
 'Math': {'acc': 0.233, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.167, 'num': 30},
 'Music': {'acc': 0.233, 'num': 30},
 'Overall': {'acc': 0.32, 'num': 900},
 'Overall-Art and Design': {'acc': 0.417, 'num': 120},
 'Overall-Business': {'acc': 0.333, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.28, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.4, 'num': 120},
 'Overall-Science': {'acc': 0.273, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.271, 'num': 210},
 'Pharmacy': {'acc': 0.367, 'num': 30},
 'Physics': {'acc': 0.367, 'num': 30},
 'Psychology': {'acc': 0.4, 'num': 30},
 'Public_Health': {'acc': 0.3, 'num': 30},
 'Sociology': {'acc': 0.233, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.32

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 726.21 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8183.48 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 16177.66 examples/s]

Loading datasets:   3%|▎         | 1/30 [00:15<07:41, 15.90s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1525.20 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6900.80 examples/s]


Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 7900.15 examples/s]

Loading datasets:   7%|▋         | 2/30 [00:16<03:15,  6.97s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1682.30 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10223.36 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 15631.37 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1138.46 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8204.82 examples/s]


Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 380/380 [00:00<00:00, 22151.06 examples/s]

Loading datasets:  13%|█▎        | 4/30 [00:17<01:12,  2.78s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1990.65 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10220.87 examples/s]


Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A
